gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
WWP2,0.013614,0.079468,0.080506,0.2000
AL592464.24,0.043693,0.080370,0.058471,0.3800
PKD1L3,0.013524,0.069148,0.079448,0.2017
ZNF23,0.013524,0.069148,0.079448,0.2017
CALB2,0.013524,0.069148,0.079448,0.2017
FTSJD1,0.013524,0.069148,0.079448,0.2017
KIAA0174,0.013524,0.069148,0.079448,0.2017
ZNF821,0.013524,0.069148,0.079448,0.2017
MARVELD3,0.013524,0.069148,0.079448,0.2017
CHST4,0.013524,0.069148,0.079448,0.2017
SNORD71,0.013524,0.069148,0.079448,0.2017
PHLPPL,0.013524,0.069148,0.079448,0.2017
AC106736.4,0.013524,0.069148,0.079448,0.2017
TAT,0.013524,0.069148,0.079448,0.2017
ZNF19,0.013524,0.069148,0.079448,0.2017
AP1G1,0.013524,0.069148,0.079448,0.2017
SNORA72,0.067476,0.072196,0.078811,0.3533
SLC7A14,0.036405,0.031284,0.078382,0.1467
AC078802.14,0.036405,0.031284,0.078382,0.1467
AC074033.18,0.036405,0.031284,0.078382,0.1467
LRRIQ4,0.036405,0.031284,0.078382,0.1467
AC007849.24-1,0.036405,0.031284,0.078382,0.1467
SKIL,0.036405,0.031284,0.078382,0.1467
Telomerase-vert,0.036405,0.031284,0.078382,0.1467
GPR160,0.036405,0.031284,0.078382,0.1467
MYNN,0.036405,0.031284,0.078382,0.1467
LRRC34,0.036405,0.031284,0.078382,0.1467
LRRC31,0.036405,0.031284,0.078382,0.1467
PRKCI,0.036405,0.031284,0.078382,0.1467
TMEM212,0.036405,0.031284,0.078382,0.1467
CLDN11,0.036405,0.031284,0.078382,0.1467
AC117476.6-1,0.036405,0.031284,0.078382,0.1467
SEC62,0.036405,0.031284,0.078382,0.1467
MDS1,0.036405,0.031284,0.078382,0.1467
PLD1,0.036405,0.031284,0.078382,0.1467
SLC2A2,0.036405,0.031284,0.078382,0.1467
SAMD7,0.036405,0.031284,0.078382,0.1467
PHC3,0.036405,0.031284,0.078382,0.1467
EIF5A2,0.036405,0.031284,0.078382,0.1467
AC078953.20-1,0.036405,0.031284,0.078382,0.1467
TNIK,0.036405,0.031284,0.078382,0.1467
RPL22L1,0.036405,0.031284,0.078382,0.1467
AC078953.20-2,0.036405,0.031284,0.078382,0.1467
hsa-mir-569,0.036405,0.031284,0.078382,0.1467
AC026316.16,0.036405,0.031284,0.078382,0.1467
TBC1D15,0.019456,0.078248,0.068673,0.2350
ACOT1,0.026636,0.078223,0.045667,0.2800
DCC,0.022165,0.052788,0.077842,0.2217
ST3GAL2,0.012244,0.069414,0.077688,0.2667
SF3B3,0.012244,0.069414,0.077688,0.2667
MTSS1L,0.012244,0.069414,0.077688,0.2667
IL34,0.012244,0.069414,0.077688,0.2667
COG4,0.012244,0.069414,0.077688,0.2667
AC020763.6-2,0.012244,0.069414,0.077688,0.2667
AC020763.6-1,0.012244,0.069414,0.077688,0.2667
DDX19B,0.012244,0.069414,0.077688,0.2667
FUK,0.012244,0.069414,0.077688,0.2667
DDX19A,0.012244,0.069414,0.077688,0.2667
RANBP10,0.008578,0.074285,0.077646,0.4883
MED15,0.045615,0.077594,0.039619,0.3783
PLCB1,0.050712,0.076173,0.034525,0.5300
BANP,0.019071,0.048425,0.076026,0.4500
RP11-690C23.4,0.056599,0.076017,0.036712,0.1117
RP11-690C23.3,0.056599,0.076017,0.036712,0.1117
AL356583.28-1,0.056599,0.076017,0.036712,0.1117
TFB2M,0.056599,0.076017,0.036712,0.1117
RP11-452J6.2,0.056599,0.076017,0.036712,0.1117
RP11-690C23.5,0.056599,0.076017,0.036712,0.1117
SNORA35,0.043161,0.075739,0.062708,0.4867
SNORA75,0.062643,0.075582,0.069478,0.3700
AP000351.8,0.045493,0.044841,0.075399,0.3550
ASMT,0.075038,0.053543,0.042057,0.3250
NBPF1,0.074548,0.049769,0.074935,0.2433
HLA-DQA2,0.029276,0.052966,0.074325,0.3650
MTCO3P1,0.029276,0.052966,0.074325,0.3650
HLA-DQB3,0.029276,0.052966,0.074325,0.3650
GARNL1,0.018011,0.074098,0.061233,0.4733
SNORD56,0.066377,0.073661,0.067832,0.3867
SNORA36,0.030622,0.059654,0.073446,0.4817
SLC9A10,0.058829,0.025854,0.073392,0.4717
ZC3H7B,0.018425,0.073385,0.052284,0.2583
SNORD38,0.053242,0.073204,0.050931,0.3750
KIAA0391,0.026032,0.073198,0.056453,0.4867
TRIM5,0.055707,0.072831,0.054520,0.3700
SNORA7,0.072824,0.069685,0.060779,0.3700
TMC5,0.024290,0.072725,0.039560,0.2200
SNORA18,0.042490,0.039795,0.072260,0.2633
EHD4,0.034473,0.041146,0.072218,0.2017
NEGR1,0.059950,0.036851,0.072138,0.1917
EPHA3,0.029139,0.057340,0.072086,0.2883
RAB21,0.019727,0.071705,0.057776,0.2567
SNORD18,0.042038,0.071602,0.061585,0.7350
AC026740.6-1,0.071328,0.032301,0.054346,0.5167
NRSN1,0.026832,0.070358,0.049895,0.2700
ANO6,0.030878,0.042315,0.069703,0.3883
PDXDC1,0.034166,0.069527,0.034728,0.0450
PRODH,0.030177,0.069401,0.032750,0.3400
5_8S_rRNA,0.044788,0.050276,0.069363,0.3533
MAP3K14,0.069109,0.013166,0.048576,0.7033
HIGD1B,0.069109,0.013166,0.048576,0.7033
G6PC3,0.069109,0.013166,0.048576,0.7033
DBF4B,0.069109,0.013166,0.048576,0.7033
LSM12,0.069109,0.013166,0.048576,0.7033
GRN,0.069109,0.013166,0.048576,0.7033
AC005180.3,0.069109,0.013166,0.048576,0.7033
MPP2,0.069109,0.013166,0.048576,0.7033
UBTF,0.069109,0.013166,0.048576,0.7033
CCDC103,0.069109,0.013166,0.048576,0.7033
KIF18B,0.069109,0.013166,0.048576,0.7033
GFAP,0.069109,0.013166,0.048576,0.7033
SLC25A39,0.069109,0.013166,0.048576,0.7033
CCDC43,0.069109,0.013166,0.048576,0.7033
AC091152.1,0.069109,0.013166,0.048576,0.7033
HEXIM2,0.069109,0.013166,0.048576,0.7033
ADAM11,0.069109,0.013166,0.048576,0.7033
AC023855.15-1,0.069109,0.013166,0.048576,0.7033
NAGS,0.069109,0.013166,0.048576,0.7033
GJC1,0.069109,0.013166,0.048576,0.7033
PYY,0.069109,0.013166,0.048576,0.7033
TMUB2,0.069109,0.013166,0.048576,0.7033
ATXN7L3,0.069109,0.013166,0.048576,0.7033
GPATCH8,0.069109,0.013166,0.048576,0.7033
EFTUD2,0.069109,0.013166,0.048576,0.7033
C17orf46,0.069109,0.013166,0.048576,0.7033
SLC4A1,0.069109,0.013166,0.048576,0.7033
C17orf65,0.069109,0.013166,0.048576,0.7033
ASB16,0.069109,0.013166,0.048576,0.7033
HEXIM1,0.069109,0.013166,0.048576,0.7033
PPY,0.069109,0.013166,0.048576,0.7033
AC003043.1-2,0.069109,0.013166,0.048576,0.7033
PLCD3,0.069109,0.013166,0.048576,0.7033
FAM187A,0.069109,0.013166,0.048576,0.7033
FZD2,0.069109,0.013166,0.048576,0.7033
CD300LG,0.069109,0.013166,0.048576,0.7033
AC015936.14,0.069109,0.013166,0.048576,0.7033
C1QL1,0.069109,0.013166,0.048576,0.7033
FMNL1,0.069109,0.013166,0.048576,0.7033
FAM171A2,0.069109,0.013166,0.048576,0.7033
ACBD4,0.069109,0.013166,0.048576,0.7033
AC003043.1-1,0.069109,0.013166,0.048576,0.7033
TMEM101,0.069109,0.013166,0.048576,0.7033
AC007722.9,0.069109,0.013166,0.048576,0.7033
ITGA2B,0.069109,0.013166,0.048576,0.7033
ARHGAP27,0.069109,0.013166,0.048576,0.7033
RUNDC3A,0.069109,0.013166,0.048576,0.7033
NMT1,0.069109,0.013166,0.048576,0.7033
C17orf53,0.069109,0.013166,0.048576,0.7033
HDAC5,0.069109,0.013166,0.048576,0.7033
DCAKD,0.069109,0.013166,0.048576,0.7033
C12orf29,0.016861,0.048473,0.068878,0.1850
AC079598.13-1,0.016861,0.048473,0.068878,0.1850
CEP290,0.016861,0.048473,0.068878,0.1850
AC079598.13-2,0.016861,0.048473,0.068878,0.1850
TMTC3,0.016861,0.048473,0.068878,0.1850
AC091516.8,0.016861,0.048473,0.068878,0.1850
C12orf50,0.016861,0.048473,0.068878,0.1850
