gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
AC026741.6,0.015413,0.047358,0.056302,0.4367
EGFLAM,0.015413,0.047358,0.056302,0.4367
LIFR,0.015413,0.047358,0.056302,0.4367
AC091435.3-2,0.015413,0.047358,0.056302,0.4367
WDR70,0.015413,0.047358,0.056302,0.4367
GDNF,0.015413,0.047358,0.056302,0.4367
AC025449.6-3,0.015413,0.047358,0.056302,0.4367
AC026713.5,0.015413,0.047358,0.056302,0.4367
AC025449.6-1,0.015413,0.047358,0.056302,0.4367
NUP155,0.015413,0.047358,0.056302,0.4367
AC008869.5,0.015413,0.047358,0.056302,0.4367
OSMR,0.015413,0.047358,0.056302,0.4367
AC025449.6-2,0.015413,0.047358,0.056302,0.4367
AC091435.3-1,0.015413,0.047358,0.056302,0.4367
AC124947.10-1,0.016918,0.035763,0.055311,0.3283
EEA1,0.016918,0.035763,0.055311,0.3283
AC124947.10-2,0.016918,0.035763,0.055311,0.3283
CLLU1OS,0.016918,0.035763,0.055311,0.3283
AC138123.2,0.016918,0.035763,0.055311,0.3283
AC126172.8-1,0.016918,0.035763,0.055311,0.3283
C12orf74,0.016918,0.035763,0.055311,0.3283
NUDT4P1,0.016918,0.035763,0.055311,0.3283
BTG1,0.016918,0.035763,0.055311,0.3283
CLLU1,0.016918,0.035763,0.055311,0.3283
PLEKHG7,0.016918,0.035763,0.055311,0.3283
INTS4,0.031853,0.021119,0.055215,0.4883
SNORA25,0.025871,0.054906,0.049192,0.3133
TMEM117,0.027360,0.053558,0.033724,0.4450
SNORA3,0.023410,0.053151,0.033006,0.4167
SNORD66,0.040302,0.037670,0.052102,0.5300
CD58,0.012915,0.050360,0.051925,0.5350
KCNG4,0.003079,0.041559,0.051781,0.1083
ATP2C2,0.003079,0.041559,0.051781,0.1083
SLC38A8,0.003079,0.041559,0.051781,0.1083
HSBP1,0.003079,0.041559,0.051781,0.1083
EFCBP2,0.003079,0.041559,0.051781,0.1083
TAF1C,0.003079,0.041559,0.051781,0.1083
OSGIN1,0.003079,0.041559,0.051781,0.1083
MBTPS1,0.003079,0.041559,0.051781,0.1083
AC010551.3-1,0.003079,0.041559,0.051781,0.1083
C16orf44,0.003079,0.041559,0.051781,0.1083
MLYCD,0.003079,0.041559,0.051781,0.1083
LRRC50,0.003079,0.041559,0.051781,0.1083
ADAD2,0.003079,0.041559,0.051781,0.1083
KIAA1609,0.003079,0.041559,0.051781,0.1083
HSDL1,0.003079,0.041559,0.051781,0.1083
WFDC1,0.003079,0.041559,0.051781,0.1083
COTL1,0.003079,0.041559,0.051781,0.1083
RP11-690C23.4,0.051274,0.042108,0.012695,0.1567
RP11-690C23.3,0.051274,0.042108,0.012695,0.1567
AL356583.28-1,0.051274,0.042108,0.012695,0.1567
TFB2M,0.051274,0.042108,0.012695,0.1567
RP11-452J6.2,0.051274,0.042108,0.012695,0.1567
SMYD3,0.051274,0.042108,0.012695,0.1567
RP11-690C23.5,0.051274,0.042108,0.012695,0.1567
SNORA30,0.017191,0.046802,0.050811,0.5317
Z93241.11-1,0.008975,0.050452,0.042416,0.4433
ZHX3,0.008605,0.050122,0.034468,0.2867
DHH,0.017958,0.050099,0.034859,0.2450
hsa-mir-1293,0.017958,0.050099,0.034859,0.2450
LIMA1,0.017958,0.050099,0.034859,0.2450
AC140061.14-2,0.017958,0.050099,0.034859,0.2450
ACCN2,0.017958,0.050099,0.034859,0.2450
LMBR1L,0.017958,0.050099,0.034859,0.2450
AC131157.4-3,0.017958,0.050099,0.034859,0.2450
KIAA1602,0.017958,0.050099,0.034859,0.2450
AC140061.14-7,0.017958,0.050099,0.034859,0.2450
KCNH3,0.017958,0.050099,0.034859,0.2450
WNT1,0.017958,0.050099,0.034859,0.2450
AQP2,0.017958,0.050099,0.034859,0.2450
FAIM2,0.017958,0.050099,0.034859,0.2450
DNAJC22,0.017958,0.050099,0.034859,0.2450
FAM186A,0.017958,0.050099,0.034859,0.2450
BCDIN3D,0.017958,0.050099,0.034859,0.2450
LARP4,0.017958,0.050099,0.034859,0.2450
WNT10B,0.017958,0.050099,0.034859,0.2450
SMARCD1,0.017958,0.050099,0.034859,0.2450
AC073610.17-1,0.017958,0.050099,0.034859,0.2450
AC140061.14-4,0.017958,0.050099,0.034859,0.2450
PRKAG1,0.017958,0.050099,0.034859,0.2450
AC131157.4-2,0.017958,0.050099,0.034859,0.2450
AC131157.4-1,0.017958,0.050099,0.034859,0.2450
C12orf62,0.017958,0.050099,0.034859,0.2450
PRPF40B,0.017958,0.050099,0.034859,0.2450
MLL2,0.017958,0.050099,0.034859,0.2450
ARF3,0.017958,0.050099,0.034859,0.2450
AC140061.14-5,0.017958,0.050099,0.034859,0.2450
AC140061.14-8,0.017958,0.050099,0.034859,0.2450
C1QL4,0.017958,0.050099,0.034859,0.2450
RACGAP1P,0.017958,0.050099,0.034859,0.2450
FAM186B,0.017958,0.050099,0.034859,0.2450
GPD1,0.017958,0.050099,0.034859,0.2450
TUBA1A,0.017958,0.050099,0.034859,0.2450
AC140061.14-1,0.017958,0.050099,0.034859,0.2450
TUBA1B,0.017958,0.050099,0.034859,0.2450
AC010173.27,0.017958,0.050099,0.034859,0.2450
TROAP,0.017958,0.050099,0.034859,0.2450
TMBIM6,0.017958,0.050099,0.034859,0.2450
AC140061.14-11,0.017958,0.050099,0.034859,0.2450
AC090058.21,0.017958,0.050099,0.034859,0.2450
AC140061.14-10,0.017958,0.050099,0.034859,0.2450
FMNL3,0.017958,0.050099,0.034859,0.2450
SPATS2,0.017958,0.050099,0.034859,0.2450
RHEBL1,0.017958,0.050099,0.034859,0.2450
AC140061.14-9,0.017958,0.050099,0.034859,0.2450
